Reference,SiteID,Treatment,Treatment description,Latitude,Longitude,elevation_m,DataLevel,PubYear,StudyYear,Fertilizer_Type,Avg_Fert_N_Rate_kgNha,Land_Type,Country,Location,MeanPrec_mm,MeanTemp_c,Soil_Type_Pub,Soil_Type,Sand,Silt,Clay,soilC_perc,soilN_perc,pH,CEC,BD,Drainage,Precrop,Crop,Residues,soil_tillage,Irrigation,Liming,Study_Fertilizer_type,Fertilizer_additives,Appl_time,Appl_Mode,No_Appl,OMAD_applied,OMAD_Type,OMAD_Kg_N_ha,OMAD_CN,Total_kg_N_ha,N2OSampleMethod,Chamber_size_m3,chmbr_measurement_length_minutes,DM_crop_yield_t_ha,avg_Biomass_yield_t_ha
Foulumgaard,Foulumgaard Experimental Station,DMPP-217N,NA,56.5,9.5,51,NA,2019,2017-2018,"DMPP_coated ammonium sulfate nitrate fertilizer (ENTEC?6);7.5% NO3_N, 18.5% NH4_N and 13% S.",217,NA,Denmark,Central Jutland,626,7.3,NA,Sand loam soil,77,13,7,2.5,NA,5.6,15,1.36,NA,NA,Oilseed Rape,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,0.197,75,2788,5359
Foulumgaard,Foulumgaard Experimental Station,Fert-217N,NA,56.5,9.5,51,NA,2019,2017-2018,"Rosier?NS 26_13; 26% N (7% NO3_N, 19% NH4_N) and 12.5% S.",217,NA,Denmark,Central Jutland,626,7.3,NA,Sand loam soil,77,13,7,2.5,NA,5.6,15,1.36,NA,NA,Oilseed Rape,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,0.197,75,2619,5725
Foulumgaard,Foulumgaard Experimental Station,DMPP-171N,NA,56.5,9.5,51,NA,2019,2017-2018,"DMPP_coated ammonium sulfate nitrate fertilizer (ENTEC?6);7.5% NO3_N, 18.5% NH4_N and 13% S.",171,NA,Denmark,Central Jutland,626,7.3,NA,Sand loam soil,77,13,7,2.5,NA,5.6,15,1.36,NA,NA,Oilseed Rape,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,0.197,75,2478,5557
Foulumgaard,Foulumgaard Experimental Station,Fert-171N,NA,56.5,9.5,51,NA,2019,2017-2018,"Rosier?NS 26_13; 26% N (7% NO3_N, 19% NH4_N) and 12.5% S.",171,NA,Denmark,Central Jutland,626,7.3,NA,Sand loam soil,77,13,7,2.5,NA,5.6,15,1.36,NA,NA,Oilseed Rape,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,0.197,75,2785,6496
Foulumgaard,Foulumgaard Experimental Station,control-0N,NA,56.5,9.5,51,NA,2019,2017-2018,NA,0,NA,Denmark,Central Jutland,626,7.3,NA,Sand loam soil,77,13,7,2.5,NA,5.6,15,1.36,NA,NA,Oilseed Rape,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,0.197,75,1151,3523
Kaserstatt_Alm,Kaserstatt,Control,NA,47.128,11.304,NA,NA,2018,2011-2012,NA,NA,NA,Austria,Stubai Valley,1097,3,dystric cambisol,loam,NA,NA,NA,2.15,NA,5.6,NA,1.34,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,NA,NA,NA,NA
Kaserstatt_Alm,Kaserstatt,Fert,NA,47.128,11.304,NA,NA,2018,2011-2012,liquid manure,NA,NA,Austria,Stubai Valley,1097,3,dystric cambisol,loam,NA,NA,NA,2.15,NA,5.6,NA,1.34,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,NA,NA,NA,NA
Kaserstatt_Alm,Kaserstatt,Meadow,Maehwiese,47.128,11.304,1850,NA,2018,2011-2012,liquid manure,NA,Maehwiese,Austria,Stubai Valley,1097,3,dystric cambisol,loam,NA,NA,NA,2.15,NA,5.6,NA,1.34,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,NA,NA,NA,NA
Kaserstatt_Alm,Kaserstatt,Pasture,Weide,47.128,11.304,1870,NA,2018,2011-2012,NA,NA,Weide,Austria,Stubai Valley,1097,3,dystric cambisol,loam,NA,NA,NA,2.15,NA,5.6,NA,1.34,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,NA,NA,NA,NA
Kaserstatt_Alm,Kaserstatt,Abandoned,Brache,47.128,11.304,1970,NA,2018,2011-2012,NA,NA,Brache,Austria,Stubai Valley,1097,3,dystric cambisol,loam,NA,NA,NA,2.15,NA,5.6,NA,1.34,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,NA,NA,NA,NA
Kaserstatt_Alm,Neustift,Meadow_Neusift,NA,47.12,11.3,980,NA,2018,2011-2012,NA,NA,NA,Austria,Stubai Valley,1097,3,dystric cambisol,loam,NA,NA,NA,2.15,NA,5.6,NA,1.34,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamber,NA,NA,NA,NA
AC0101,Cambridgeshire,Ammonium nitrate 140 kg N ha,application of one hundred and forty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,140,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,2.093333333,NA,8.25,NA,1.088333333,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Cambridgeshire,Ammonium nitrate 210 kg N ha,application of two hundred and ten kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,210,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,2.093333333,NA,8.25,NA,1.088333333,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,10.81666667,NA
AC0101,Cambridgeshire,Ammonium nitrate 280 kg N ha,application of two hundred and eighty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,280,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,2.093333333,NA,8.25,NA,1.088333333,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Cambridgeshire,Ammonium nitrate 350 kg N ha,application of three hundred and fifty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,350,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,2.093333333,NA,8.25,NA,1.088333333,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Cambridgeshire,Ammonium nitrate 70 kg N ha,application of seventy kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,70,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,2.093333333,NA,8.25,NA,1.088333333,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Cambridgeshire,Control,untreated- no application of ammonium nitrate fertilizer,NA,NA,NA,NA,NA,2007,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,2.093333333,NA,8.25,NA,1.088333333,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 130 kg N ha,application of one hundred and thirty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,130,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.54,NA,5.8,NA,NA,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,4.5,NA
AC0101,Devon,Ammonium nitrate 140 kg N ha,application of one hundred and forty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2008,NA,140,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.49,NA,6.3,NA,NA,NA,NA,Winter Wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 160 kg N ha,application of one hundred and sixty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,160,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.54,NA,5.8,NA,NA,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 200 kg N ha,application of two hundred kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,200,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.54,NA,5.8,NA,NA,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 210 kg N ha,application of two hundred and ten kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2008,NA,210,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.49,NA,6.3,NA,NA,NA,NA,Winter Wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,6.4,NA
AC0101,Devon,Ammonium nitrate 280 kg N ha,application of two hundred and eighty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2008,NA,280,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.49,NA,6.3,NA,NA,NA,NA,Winter Wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 350 kg N ha,application of three hundred and fifty kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2008,NA,350,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.49,NA,6.3,NA,NA,NA,NA,Winter Wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 70 kg N ha,application of seventy kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,70,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.515,NA,6.05,NA,NA,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 70 kg N ha,application of seventy kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2008,NA,70,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.515,NA,6.05,NA,NA,NA,NA,Winter Wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Ammonium nitrate 90 kg N ha,application of ninety kilograms per hectare of ammonium nitrate,NA,NA,NA,NA,NA,2007,NA,90,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.54,NA,5.8,NA,NA,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Control,untreated- no application of ammonium nitrate fertilizer,NA,NA,NA,NA,NA,2007,NA,0,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.515,NA,6.05,NA,NA,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Devon,Control,untreated- no application of ammonium nitrate fertilizer,NA,NA,NA,NA,NA,2008,NA,0,NA,NA,NA,NA,NA,Sandy loam,NA,NA,NA,24.2,1.515,NA,6.05,NA,NA,NA,NA,Winter Wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 140 kg N ha,NA,NA,NA,NA,NA,NA,2007,NA,140,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter barley,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 140 kg N ha,NA,NA,NA,NA,NA,NA,2008,NA,140,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 210 kg N ha,NA,NA,NA,NA,NA,NA,2007,NA,210,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter barley,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,6,NA
AC0101,Nottinghamshire,Ammonium nitrate 210 kg N ha,NA,NA,NA,NA,NA,NA,2008,NA,210,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,6,NA
AC0101,Nottinghamshire,Ammonium nitrate 280 kg N ha,NA,NA,NA,NA,NA,NA,2008,NA,280,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 280 kg N ha,NA,NA,NA,NA,NA,NA,2007,NA,280,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter barley,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 350 kg N ha,NA,NA,NA,NA,NA,NA,2008,NA,350,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 350 kg N ha,NA,NA,NA,NA,NA,NA,2007,NA,350,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter barley,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 70 kg N ha,NA,NA,NA,NA,NA,NA,2007,NA,70,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter barley,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Ammonium nitrate 70 kg N ha,NA,NA,NA,NA,NA,NA,2008,NA,70,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Control,NA,NA,NA,NA,NA,NA,2008,NA,0,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0101,Nottinghamshire,Control,NA,NA,NA,NA,NA,NA,2007,NA,0,NA,NA,NA,NA,NA,Loamy sand,NA,NA,NA,7,1.381666667,NA,5.916666667,NA,1.271666667,NA,NA,Winter barley,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Cattle slurry,NA,NA,NA,NA,NA,NA,2010,NA,83.725,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter oilseed rape,NA,NA,NA,NA,NA,NA,Autumn,Trailing hose,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Cattle slurry,NA,NA,NA,NA,NA,NA,2011,NA,83.725,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter oilseed rape,NA,NA,NA,NA,NA,NA,Spring,Trailing hose,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Cattle slurry,NA,NA,NA,NA,NA,NA,2009,NA,83.725,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Autumn,Trailing hose,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Cattle slurry,NA,NA,NA,NA,NA,NA,2010,NA,83.725,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter oilseed rape,NA,NA,NA,NA,NA,NA,Post emergence,Trailing hose,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Control,NA,NA,NA,NA,NA,NA,2009,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter wheat,NA,NA,NA,NA,NA,NA,Autumn,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Control,NA,NA,NA,NA,NA,NA,2011,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter oilseed rape,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Control,NA,NA,NA,NA,NA,NA,2010,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter oilseed rape,NA,NA,NA,NA,NA,NA,Autumn,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Cambridgeshire,Control,NA,NA,NA,NA,NA,NA,2010,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,35,1.9,NA,8.2,NA,1.2175,NA,NA,Winter oilseed rape,NA,NA,NA,NA,NA,NA,Post emergence,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2010,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2010,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Autumn,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2010,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2011,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2011,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2008,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Autumn,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2009,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - drained,NA,NA,NA,NA,NA,NA,2009,NA,146.1125,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2011,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2008,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Autumn,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2011,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2010,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Autumn,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2009,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2010,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2009,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Cattle slurry - undrained,NA,NA,NA,NA,NA,NA,2010,NA,145.6761905,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,Trailing shoe,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2009,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2008,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Autumn,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2011,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2010,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2009,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2010,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Summer,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2010,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Autumn,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
AC0111,Devon,Control - drained,NA,NA,NA,NA,NA,NA,2011,NA,0,NA,NA,NA,NA,NA,Clay loam,NA,NA,NA,38,4.5,NA,5.6,NA,0.8125,NA,NA,Grassland,NA,NA,NA,NA,NA,NA,Spring,NA,NA,NA,NA,NA,NA,NA,Chamber,0.48,40,NA,NA
