SiteName,TreatmentName,Latitude,Longitude,ExperimentName,FluxInstrument,TreatmentDescription,Citation,Management,Sand,Silt,Clay,N2O_Measurements
KBS,ambient-snow,42.26,-85.19,Ruan_snow_2016,auto chamber,control plots where snow was neither added nor removed,https://doi.org/10.1007/s10021-016-0077-9,Conventional,,,,73
KBS,double-snow,42.26,-85.19,Ruan_snow_2016,auto chamber,snow was added to twice the ambient levels with care to maintain snow density,https://doi.org/10.1007/s10021-016-0077-9,Conventional,,,,73
KBS,no-snow,42.26,-85.19,Ruan_snow_2016,auto chamber,after each snow event ninety five percent of the snow was removed with a hand towel with care to not disturb snow density,https://doi.org/10.1007/s10021-016-0077-9,Conventional,,,,73
KBS_CRP1,M1,42.24,-85.24,Gelfand_2011,static chamber,first converted site,https://doi.org/10.1073/pnas.1017277108,Zero Input,,,,12
KBS_CRP2,M2,42.24,-85.24,Gelfand_2011,static chamber,second converted site,https://doi.org/10.1073/pnas.1017277108,Zero Input,,,,12
KBS_CRP3,M3,42.24,-85.24,Gelfand_2011,static chamber,third converted site,https://doi.org/10.1073/pnas.1017277108,Zero Input,,,,12
KBS_reference,M4,42.24,-85.24,Gelfand_2011,static chamber,CRP control site,https://doi.org/10.1073/pnas.1017277108,Zero Input,,,,12
KBS,G2,42.24,-85.24,Oates_KBS_2015,static chamber,phases of a corn-soybean-canola rotation using best management practices for each system,https://doi.org/10.1111/gcbb.12268,Zero Input,,,,32
Hamilton,T1,-37.73,142.02,fogarty.8,,winter wheat planted by direct drilling into sprayed out long term pasture,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,Zero Input,,,,315
Hamilton,T2,-37.73,142.02,fogarty.8,,"As for treatment 1, with nitrification inhibitor sprayed onto the plots as DCD at 10 kg/ha",http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,Zero Input,,,,331
Hamilton,T3,-37.73,142.02,fogarty.8,,winter wheat planted after conventional cultivation of the soil,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,Zero Input,,,,347
Hamilton,T4,-37.73,142.02,fogarty.8,,"As for treatment 3, with DCD also applied at least twice during the year.",http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,Zero Input,,,,348
,0n,-34.0544,150.6958,dougherty.8,,0 kg N applied,,Zero Input,,,,322
,25n,-34.0544,150.6958,dougherty.8,,25 kg N applied,,Zero Input,,,,322
,100n,-34.0544,150.6958,dougherty.8,,100 kg N applied,,Zero Input,,,,322
,50n,-34.0544,150.6958,dougherty.8,,50 kg N applied,,Zero Input,,,,322
Tgas_Glenlea_tillage,Field1-rt,49.64,-97.16,Tgas_Manitoba,flux gradient,"reduced tillage - maize, faba",http://dx.doi.org/10.1016/j.agrformet.2012.06.015,Conventional,,,,481
Tgas_Glenlea_tillage,Field2-ct,49.64,-97.16,Tgas_Manitoba,flux gradient,"conventional tillage - maize, faba, spring wheat",http://dx.doi.org/10.1016/j.agrformet.2012.06.015,Conventional,,,,526
Tgas_Glenlea_tillage,Field3-ct,49.64,-97.16,Tgas_Manitoba,flux gradient,"conventional tillage - maize, faba, spring wheat",http://dx.doi.org/10.1016/j.agrformet.2012.06.015,Conventional,,,,499
Tgas_Glenlea_tillage,Field4-rt,49.64,-97.16,Tgas_Manitoba,flux gradient,"reduced tillage - maize, faba",http://dx.doi.org/10.1016/j.agrformet.2012.06.015,Conventional,,,,465
Tgas_Glenlea_annual_perennial,Field1-perennial,49.64,-97.16,Tgas_Manitoba,flux gradient,annual converted to perennial,doi:10.4141/CJSS2013-025,Zero Input,,,,1057
Tgas_Glenlea_annual_perennial,Field2-annual,49.64,-97.16,Tgas_Manitoba,flux gradient,"annual (wheat, canola, barley)",doi:10.4141/CJSS2013-025,Conventional,,,,500
Tgas_Glenlea_annual_perennial,Field3-annual,49.64,-97.16,Tgas_Manitoba,flux gradient,"annual (wheat, canola, barley)",doi:10.4141/CJSS2013-025,Conventional,,,,478
Tgas_Glenlea_annual_perennial,Field4-perennial,49.64,-97.16,Tgas_Manitoba,flux gradient,annual converted to perennial,doi:10.4141/CJSS2013-025,Zero Input,,,,906
Tgas_Glenlea_fert_timing,Field2-ferttime,49.64,-97.16,Tgas_Manitoba,flux gradient,"spring-maize, preplant fert vs late fall fert",doi:10.2134/jeq2015.03.0159,Conventional,,,,501
Tgas_Glenlea_fert_timing,Field3-ferttime,49.64,-97.16,Tgas_Manitoba,flux gradient,"spring-maize, preplant fert vs late fall fert",doi:10.2134/jeq2015.03.0159,Conventional,,,,510
Tgas_Glenlea_conventional,Field1,49.64,-97.16,Tgas_Manitoba,flux gradient,conventional mgmt (soy-wheat-maize-canola) monitoring,http://dx.doi.org/10.1016/j.agrformet.2017.08.039,Conventional,,,,960
Tgas_Glenlea_conventional,Field2,49.64,-97.16,Tgas_Manitoba,flux gradient,conventional mgmt (soy-wheat-maize-canola) monitoring,http://dx.doi.org/10.1016/j.agrformet.2017.08.039,Conventional,,,,1037
Tgas_Glenlea_conventional,Field3,49.64,-97.16,Tgas_Manitoba,flux gradient,conventional mgmt (soy-wheat-maize-canola) monitoring,http://dx.doi.org/10.1016/j.agrformet.2017.08.039,Conventional,,,,962
Tgas_Glenlea_conventional,Field4,49.64,-97.16,Tgas_Manitoba,flux gradient,conventional mgmt (soy-wheat-maize-canola) monitoring,http://dx.doi.org/10.1016/j.agrformet.2017.08.039,Conventional,,,,1009
